,Cont_Cont_mean_conn,Cont_Default_mean_conn,Cont_DorsAttn_mean_conn,Cont_Limbic_mean_conn,Cont_SalVentAttn_mean_conn,Cont_SomMot_mean_conn,Cont_Vis_mean_conn,Default_Default_mean_conn,Default_DorsAttn_mean_conn,Default_Limbic_mean_conn,Default_SalVentAttn_mean_conn,Default_SomMot_mean_conn,Default_Vis_mean_conn,DorsAttn_DorsAttn_mean_conn,DorsAttn_Limbic_mean_conn,DorsAttn_SalVentAttn_mean_conn,DorsAttn_SomMot_mean_conn,DorsAttn_Vis_mean_conn,Limbic_Limbic_mean_conn,Limbic_SalVentAttn_mean_conn,Limbic_SomMot_mean_conn,Limbic_Vis_mean_conn,SalVentAttn_SalVentAttn_mean_conn,SalVentAttn_SomMot_mean_conn,SalVentAttn_Vis_mean_conn,SomMot_SomMot_mean_conn,SomMot_Vis_mean_conn,Vis_Vis_mean_conn,group
10,0.8354781955796943,0.39471516042500554,0.40560423449513294,0.6475870253489947,0.565513800202363,0.2690416190368572,0.13526479333870192,0.39365876545279,0.3748717235324743,0.4047899249925863,0.4045856018540331,0.30788629358653935,0.2809114079824146,0.5221582992983347,0.46036403007990434,0.45173654410463854,0.33565234628214985,0.2575295738366624,0.6998839280753253,0.6135985483977612,0.30605220299719127,0.21263599508079917,0.7066445893477391,0.3113739849896723,0.2578982198877802,0.3598510194337268,0.3421728536560245,0.4137090340868604,0.0
11,0.39641715848019293,0.1800883482361214,0.15467141252792366,0.16177959908372963,0.13141658154774244,0.10177132062551954,0.04034709315250564,0.26357585412667506,0.16814627962520337,0.08075896929997507,0.10046473349504004,0.2005781902458023,0.22197788677080615,0.2717121831102266,0.1079567400516245,0.1186331146595725,0.21708417886965015,0.16843563264576442,0.19276623663529116,0.16740258312073814,0.08878911446606054,0.06659526274447927,0.3183246973561462,0.14036104598855073,0.15403164562964833,0.3005556333418607,0.2874275933125951,0.3488075947809044,0.0
12,0.6491823218479073,0.33952720206228915,0.34546545596754114,0.4018424298733224,0.3166835270543287,0.2535380206477082,0.24653744371778757,0.3455468867994553,0.3494039463936523,0.2392608837466075,0.2824263038832087,0.3151077278774908,0.31948893523684924,0.6191955091982698,0.3217393012645372,0.4059289490731743,0.4584601138090853,0.42848749827818094,0.46138697122612893,0.3756536128445299,0.25502371125128537,0.24228464847640155,0.5493217707866548,0.3277381588344517,0.329117054865485,0.43049904184072857,0.4064506848868768,0.43393586141869384,0.0
13,0.5741121927009245,0.2813681510702139,0.3997082581539338,0.437584350277452,0.41813063162885455,0.23987770420172042,0.15292505667836367,0.38242265648607393,0.3731935992940978,0.29641984595541876,0.292993318119178,0.3339561392039705,0.3474264989093917,0.6114144269377026,0.39922755787826414,0.4172501620743029,0.4208162391107016,0.367927105231937,0.47640064971709983,0.4771837097837172,0.3032856156275932,0.26059664948982975,0.5986880360034065,0.31610205940398634,0.306773968626007,0.4016693704635911,0.4003758559206852,0.46815140797392923,0.0
14,0.8105951836511931,0.6579959164271532,0.6656238296508539,0.7082874630837286,0.6722150198416365,0.577718815954856,0.5542188309130811,0.7098741878671123,0.6568437902991361,0.5968164671691152,0.6542233934661151,0.5983449651744039,0.6542435296751775,0.7673966259781617,0.6094134473072638,0.6810346010966278,0.5930405180035275,0.5954183565305382,0.7058762178460942,0.6385604065469356,0.5560114723769245,0.5403859999829081,0.8432983695470939,0.5769526185923525,0.6427826345059933,0.617565680602253,0.6203166187856392,0.7127214655041436,0.0
15,0.5489180382120545,0.22738595592725633,0.3039364697203665,0.4067037361634042,0.35804794732508094,0.17241616988510197,0.09838362920837179,0.3033933618043999,0.3038690392535425,0.2652959285053691,0.2285717400652239,0.2593094665966554,0.2772994644439485,0.5209157305356197,0.37733495348795054,0.391941057440229,0.3354545541603799,0.2791437452112115,0.480795890749035,0.44879268660768795,0.27822548417555026,0.2411223564244,0.644550372550436,0.22551764958302373,0.2031474845105296,0.34490433509152413,0.33145877948656594,0.3908058695944533,0.0
16,0.3688186190150988,0.09310727994914857,0.1724949639601817,0.25886424836920374,0.18062948062025005,-0.00019860338624806822,-0.0514717092854046,0.1817577754695486,0.07970595847231264,0.05950124367003473,0.04317505810741521,0.06861012440553424,0.10229555795942648,0.34536818107741185,0.17694016517078523,0.18614801792084648,0.14493208839740365,0.09381126288974746,0.32097265075888043,0.2836056281567655,0.051269654962902665,-0.0037011148339744413,0.4678005194393605,0.06471319384396042,0.0432485463735631,0.18592905114006544,0.15876279330194104,0.22000818907907807,0.0
17,0.6474485722090596,0.46632382040710363,0.5593394364587914,0.5326808856118636,0.4795463515528536,0.3856723439270522,0.35532694548158866,0.45151450193246767,0.47297511439177087,0.44542947085714635,0.4289563262020699,0.34762315389024034,0.3550942234166825,0.7126359323344438,0.5288605538557677,0.4848711462893884,0.43675691977139397,0.39245450120839565,0.5620505934911266,0.48145057441627975,0.369738396205928,0.3540522856156618,0.5782673892601102,0.3588645789872977,0.3707474234605562,0.3714532363394416,0.3418724823108065,0.3589670039492633,0.0
18,0.6114400194770913,0.298370215355061,0.43512128895918134,0.4273737705453375,0.3518070120184629,0.3160935788908159,0.17636972132181514,0.3342280962930004,0.33130224803903785,0.24500306946132383,0.30611834585357534,0.316988106977446,0.30112930801040855,0.6045120245342819,0.3206876598214771,0.3735912914240965,0.3930947802078394,0.28432973017893,0.49730667763518027,0.4202111643926542,0.2585033539836071,0.18287037616743446,0.5448588925980044,0.31274216078051964,0.2756570974914318,0.4089508303459268,0.338088764233284,0.3540206322437198,0.0
19,0.6153185135842825,0.3805513222476604,0.49397711153678003,0.558010674891762,0.5571704181758287,0.40947010073111945,0.4035387836606354,0.36570878910240057,0.35413907348443097,0.37731009689089157,0.35970740055957173,0.3446136939329736,0.3841935527980879,0.5250374417995438,0.48827897295457684,0.4833135370225803,0.38877534903915195,0.3844085517498792,0.6041186283422603,0.5904073544747485,0.4404186790911502,0.4325773836312041,0.7549440555701032,0.411088529512064,0.42956177410448443,0.4309828677907659,0.4425607164245638,0.5020252768348101,0.0
